Server_Name,IP_Address,Description,SCADA_System,Domain,Connected,Maintained,Fully_Qualified,Identifier,Location,OS_Installation,MS_Office,Other_Software,NOTES,Distribute_TGPL_GRAPHICS
tulpwtrnkep01,10.27.129.15,ClearSCADA Production Kepware Server - Eastern Interstates & Salt Lake City,ClearSCADA,WMBS,,,tulpwtrnkep01.WMBS.io,74,,,,,,
TULPWTRNKEP02,10.27.129.16,ClearSCADA Server,ClearSCADA,WMBS,,,TULPWTRNKEP02.WMBS.io,75,Tulsa,,,,,
tulpwviewx18,,ClearSCADA ViewX Box,ClearSCADA,Williams,,,tulpwviewx18.Williams.com,76,Tulsa,,,,,
wgphouphd02,172.31.50.85,Uniformance PhD Primary server - Field access to PHD,Transco SCADA,Williams,✔,,wgphouphd02.Williams.com,77,Houston,,,,,
wgphouphd03,172.31.130.8,Uniformance PhD Backup server - TGPL control room trending,Transco SCADA,Williams,✔,,wgphouphd03.Williams.com,78,Frazier,,,,,
wgpslcphd01,161.245.25.75,NWP PHD Historian,NWP SCADA,Williams,✔,,wgpslcphd01.Williams.com,79,Salt Lake City,,,,,
wgpslcphd02,161.245.25.74,NWP PHD Historian,NWP SCADA,Williams,,,wgpslcphd02.Williams.com,80,Salt Lake City,,,,,
wmsdcxdss1,10.201.2.191,Backup DSS,FCA/NE SCADA,WMSSCADA,✔,✔,wmsdcxdss1.WMSSCADA.local,81,Broken Arrow,,,,,
wmsdcxeng1,10.201.1.106,Backup Engineering ,FCA/NE SCADA,WMSSCADA,✔,,wmsdcxeng1.WMSSCADA.local,82,Broken Arrow,,,,,
wmsdcxfcahis1,10.201.1.168,FCA Backup Historian,FCA/NE SCADA,WMSSCADA,✔,✔,wmsdcxfcahis1.WMSSCADA.local,83,Broken Arrow,,,,,
wmsdcxfcahis2,10.201.1.169,FCA Backup Historian,FCA/NE SCADA,WMSSCADA,✔,✔,wmsdcxfcahis2.WMSSCADA.local,84,Broken Arrow,,,,,
wmsdcxfcarts1,10.201.1.115,FCA Backup RealTime 1 SCADA System for NE Assets,FCA/NE SCADA,WMSSCADA,✔,✔,wmsdcxfcarts1.WMSSCADA.local,85,Broken Arrow,"MS Windows Server 2003, Standard Edition SP2",,,,
wmsdcxfcarts2,10.201.1.116,FCA Backup RealTime 2 SCADA System for NE Assets,FCA/NE SCADA,WMSSCADA,✔,✔,wmsdcxfcarts2.WMSSCADA.local,86,Broken Arrow,"MS Windows Server 2003, Standard Edition SP2",,,,
wmsdcxgasopcda1,10.201.1.27,RMA Backup Kepware Server - Kepware.KEPServerEX.V5,RMA/GCA,WMSSCADA,✔,,wmsdcxgasopcda1.WMSSCADA.local,87,Frazier,,,,,
wmsdcxlmshis1,10.201.1.172,LMS Backup Historian,Liquids SCADA,WMSSCADA,✔,✔,wmsdcxlmshis1.WMSSCADA.local,88,Broken Arrow,,,,,
wmsdcxlmshis2,10.201.1.173,LMS Backup Historian,Liquids SCADA,WMSSCADA,✔,✔,wmsdcxlmshis2.WMSSCADA.local,89,Broken Arrow,,,,,
wmsdcxlmsopcda1,10.201.1.25,LMS Backup Kepware Server - KEPServerEX6,Liquids SCADA,WMSSCADA,✔,,wmsdcxlmsopcda1.WMSSCADA.local,90,,,,,,
wmsdcxlmsopcua1,10.201.1.26,LMS Backup DA1 & UA1 Kepware Server - Kepware.KEPServerEX.V5,Liquids SCADA,WMSSCADA,✔,,wmsdcxlmsopcua1.WMSSCADA.local,91,Tulsa,,,KepserverEX 6.6 V6.6.350.0,,
