Server_Name,IP_Address,Description,SCADA_System,Domain,Connected,Maintained,Fully_Qualified,Identifier,Location,OS_Installation,MS_Office,Other_Software,NOTES,Distribute_TGPL_GRAPHICS
bccgas1,172.30.9.37 ,Atlantic Gulf Backup GMAS,Transco SCADA,TGPLSCADA,,,bccgas1.TGPLSCADA.local,1,Frazier,,,,,
bcchis1,172.30.9.70 ,Atlantic Gulf Backup History 1,Transco SCADA,TGPLSCADA,,,bcchis1.TGPLSCADA.local,2,Frazier,,,,,
bcchis2,172.30.9.71 ,Atlantic Gulf Backup History 2,Transco SCADA,TGPLSCADA,,,bcchis2.TGPLSCADA.local,3,Frazier,,,,,
bccrts1,172.30.9.31 ,Atlantic Gulf Backup 1,Transco SCADA,TGPLSCADA,✔,✔,bccrts1.TGPLSCADA.local,4,Frazier,"MS Windows Server 2003, Standard Edition SP2",,,,
bccrts2,172.30.9.32 ,Atlantic Gulf Backup 2,Transco SCADA,TGPLSCADA,✔,✔,bccrts2.TGPLSCADA.local,5,Frazier,"MS Windows Server 2003, Standard Edition SP2",,,,
bccrx1,172.30.9.35 ,Atlantic Gulf Backup side terminal server 1,Transco SCADA,TGPLSCADA,✔,✔,bccrx1.TGPLSCADA.local,6,Frazier,"MS Windows Server 2003, Standard Edition SP2",MS Office 2010,,,YES
bccrx2,172.30.9.36 ,Atlantic Gulf Backup side terminal server 2,Transco SCADA,TGPLSCADA,✔,✔,bccrx2.TGPLSCADA.local,7,Frazier,"MS Windows Server 2003, Standard Edition SP2",MS Office 2010,,,YES
dcxpwlmskep01,10.201.1.197,LMS Backup Kepware Server - Auto Redundancy - L0 & L1 cluster,Liquids SCADA,WMSSCADA,✔,,dcxpwlmskep01.WMSSCADA.local,8,,,,,,
dcxpwtrnacm01,10.201.129.10,ClearSCADA Transco Backup ACM Server,G&P SCADA,WMBS,,,dcxpwtrnacm01.WMBS.io,9,,,,,,
dcxpwtrncls01,10.201.128.10,ClearSCADA Transco Backup Server,ClearSCADA,WMBS,,,dcxpwtrncls01.WMBS.io,10,,,,,,
dcxpwtrnkep01,10.201.129.15,ClearSCADA Production Backup DCX Kepware Server - Eastern Interstates & Salt Lake City,ClearSCADA,WMBS,,,dcxpwtrnkep01.WMBS.io,11,,,,,,
EVNPSCADAPROXY,172.24.4.172,NWP Server,NWP Server,Williams,,,EVNPSCADAPROXY.Williams.com,12,Salt Lake City,,,,,
houpwftp01,10.144.1.70,FTP Server,Williams,Williams,,,houpwftp01.Williams.com,13,Houston,,,,,
houpwtrncls03,,ClearSCADA Transco Production Server,ClearSCADA,WMBS,,,houpwtrncls03.WMBS.io,14,,,,,,
No Name - Z39,10.27.129.39,ClearSCADA Zumlink Priority Forward Server,G&P SCADA,WMBS,,,No Name - Z39.WMBS.io,15,,,,,,
No Name - Z40,10.27.129.40,ClearSCADA Zumlink Priority Forward Server,G&P SCADA,WMBS,,,No Name - Z40.WMBS.io,16,,,,,,
No Name - Z41,10.27.129.41,ClearSCADA Zumlink Priority Forward Server,G&P SCADA,WMBS,,,No Name - Z41.WMBS.io,17,,,,,,
nwp-pccrts1,172.24.1.30,PCC Realtime Server 1,NWP SCADA,Williams,,,nwp-pccrts1.Williams.com,18,Salt Lake City,,,,,
nwp-pccrts2,172.24.1.31,PCC Realtime Server 2,NWP SCADA,Williams,,,nwp-pccrts2.Williams.com,19,Salt Lake City,,,,,
nwp-pccrxs1,172.24.1.18,PCC Domain Controller 1,NWP SCADA,Williams,,,nwp-pccrxs1.Williams.com,20,Salt Lake City,,,,,
nwp-pccrxs2,172.24.1.19,PCC Domain Controller 2,NWP SCADA,Williams,,,nwp-pccrxs2.Williams.com,21,Salt Lake City,,,,,
okcpscadaopc10,10.90.98.23,G+P Tulsa ACM Server,G&P SCADA,Williams,,,okcpscadaopc10.Williams.com,22,,,,,,
okcpscadardp01,10.90.99.19,ClearSCADA Jump Box,ClearSCADA,Williams,,,okcpscadardp01.Williams.com,23,Tulsa,,,,,
pccdc01,172.30.7.61,Atlantic Gulf Domain Controller 1,Transco SCADA,TGPLSCADA,,,pccdc01.TGPLSCADA.local,24,Houston,,,,,
pccdc02,172.30.7.62,Atlantic Gulf Domain Controller 2,Transco SCADA,TGPLSCADA,,,pccdc02.TGPLSCADA.local,25,Houston,,,,,
pccdss1,172.24.1.41,PCC DSS Server,NWP SCADA,Williams,,,pccdss1.Williams.com,26,Salt Lake City,,,,,YES
PCCDSS1,172.24.2.41,NWP Server,NWP Server,Williams,,,PCCDSS1.Williams.com,27,Salt Lake City,,,,,
pcceng1,172.30.7.37,Atlantic Gulf OASYS74 Engineering Server - XOS Display Repository,Transco SCADA,TGPLSCADA,✔,✔,pcceng1.TGPLSCADA.local,28,Houston,"MS Windows Server 2003, Standard Edition ",MS Office 2010,MS SQL Server 2008 // MS SQL Enterprise Manager Version 8.00.2066 (SP4)  // KepserverEX 6.6 V6.6.350.0,,NO - DISPLAY SOURCE
PCCENG2,172.24.1.40,NWP Server,NWP SCADA,Williams,,,PCCENG2.Williams.com,29,Salt Lake City,,,,,
pccfs01,172.30.7.201,Atlantic Gulf File Server,Transco SCADA,TGPLSCADA,,,pccfs01.TGPLSCADA.local,30,Houston,"MS Windows Server 2003, Standard Edition ",MS Office Professional Edition 2003 ,,,
PCCGAS1,172.24.2.42,NWP Server,NWP SCADA,Williams,,,PCCGAS1.Williams.com,31,Salt Lake City,,,,,
pccgas1,172.30.8.34 ,Atlantic Gulf Gas Apps (GMAS) server,Transco SCADA,TGPLSCADA,✔,,pccgas1.TGPLSCADA.local,32,Houston,"MS Windows Server 2003, Standard Edition SP2",MS Office Professional Edition 2003 ,,,
pcchis1,172.30.7.70 ,Atlantic Gulf Primary History 1,Transco SCADA,TGPLSCADA,✔,✔,pcchis1.TGPLSCADA.local,33,Houston,MS Server 2003 Enterprise Edition SP2,,MS SQL Enterprise Manager Version 8.00.2066 (SP4) ,,
pcchis2,172.30.7.71 ,Atlantic Gulf Primary History 2,Transco SCADA,TGPLSCADA,✔,✔,pcchis2.TGPLSCADA.local,34,Houston,MS Server 2003 Enterprise Edition SP2,,MS SQL Enterprise Manager Version 8.00.2066 (SP4) ,,
